student_id,fee_submission_date
69,2022-01-17
72,2023-05-08
94,2023-04-09
30,2022-02-01
45,2023-01-02
2,2022-09-21
59,2023-03-18
71,2023-10-24
20,2023-03-06
61,2023-02-01
100,2022-02-19
95,2023-06-16
23,2022-07-18
19,2023-08-27
100,2022-08-28
56,2023-03-03
58,2022-06-24
58,2022-11-08
72,2022-10-11
60,2022-08-18
54,2022-04-08
67,2022-02-16
3,2023-03-12
24,2022-01-08
95,2022-03-22
70,2023-07-28
77,2022-09-02
49,2022-10-29
41,2023-06-13
54,2022-04-03
63,2022-03-03
73,2023-09-08
17,2023-11-06
26,2023-01-03
7,2023-09-06
83,2022-03-01
42,2023-11-14
79,2022-04-18
4,2022-01-16
81,2022-08-17
19,2022-08-06
9,2023-09-25
42,2023-11-07
7,2022-12-31
9,2023-03-27
59,2023-12-14
86,2023-11-02
24,2022-12-02
97,2023-02-09
85,2023-06-01
88,2023-07-27
89,2023-12-18
88,2023-08-18
72,2023-04-17
20,2023-07-30
87,2023-05-25
51,2023-07-07
27,2023-09-22
51,2023-11-26
24,2022-07-27
27,2022-01-02
78,2022-12-16
2,2022-06-29
99,2022-09-18
12,2023-01-27
31,2022-05-15
92,2022-04-11
12,2023-01-26
73,2022-08-27
59,2023-05-19
42,2023-10-23
22,2022-07-29
77,2023-08-01
94,2023-04-24
21,2022-04-23
12,2022-06-20
44,2023-12-24
76,2023-08-03
31,2023-04-09
49,2023-01-27
20,2022-01-12
15,2022-07-07
70,2022-07-11
56,2022-07-24
13,2023-01-04
86,2022-08-24
87,2022-08-21
69,2022-12-29
74,2023-05-24
55,2023-02-27
4,2023-06-26
2,2022-03-20
53,2022-10-16
41,2023-12-03
18,2023-04-04
82,2023-05-02
10,2022-09-13
82,2023-12-08
35,2022-06-02
41,2023-10-31
24,2022-09-06
85,2023-03-01
70,2022-03-09
75,2023-06-21
23,2023-07-03
74,2023-02-12
91,2022-08-29
47,2023-04-06
51,2023-11-14
69,2022-12-21
52,2023-05-31
98,2022-11-05
48,2023-08-19
1,2022-01-03
76,2022-04-25
37,2022-04-28
26,2022-05-22
35,2022-08-07
9,2022-11-14
99,2022-02-19
80,2022-11-01
93,2022-01-15
3,2023-07-03
67,2023-01-17
66,2022-09-20
7,2022-10-15
87,2022-09-16
5,2022-04-28
34,2023-12-22
77,2023-05-05
8,2023-03-04
65,2022-05-05
95,2023-01-30
60,2022-07-26
97,2022-01-31
63,2023-12-24
87,2023-01-23
59,2022-03-14
28,2023-05-08
49,2022-11-17
32,2023-02-03
42,2022-10-11
74,2022-07-04
14,2023-09-07
3,2023-01-07
58,2023-01-09
71,2023-03-01
15,2023-04-05
24,2023-08-09
57,2023-04-25
81,2022-03-27
44,2022-01-06
15,2023-07-28
7,2022-06-07
5,2023-03-12
2,2022-05-05
50,2022-12-19
61,2022-01-16
93,2023-10-20
72,2023-04-18
85,2022-09-29
58,2022-09-08
20,2023-03-08
81,2023-05-10
91,2023-03-01
18,2022-01-04
40,2022-03-28
7,2023-11-10
44,2022-01-18
87,2023-04-05
11,2023-02-18
34,2023-01-01
51,2022-02-22
41,2023-07-12
64,2022-01-17
47,2022-10-18
72,2022-05-18
66,2022-12-15
80,2022-08-26
28,2023-06-07
42,2023-10-08
51,2022-08-02
3,2022-03-22
51,2023-09-11
39,2022-05-07
95,2023-06-11
22,2022-05-07
94,2023-05-11
80,2023-06-22
74,2022-11-25
51,2023-05-29
93,2022-08-10
14,2022-11-22
93,2023-11-25
83,2023-07-26
35,2023-06-21
76,2023-12-19
51,2022-10-22
72,2022-08-31
62,2023-03-24
